author_id,google_hindex,ms_hindex
1,0,21
2,0,44
3,0,45
4,69,52
5,0,33
6,0,23
7,0,8
8,0,7
9,0,16
10,51,53
11,84,61
12,0,15
13,36,30
14,0,16
15,4,4
16,45,32
17,50,34
18,0,31
19,0,7
20,18,16
21,0,59
22,0,8
23,0,41
24,63,50
25,28,27
26,0,107
27,0,20
28,0,7
29,0,3
30,0,18
31,0,59
32,0,1
33,41,29
34,0,1
35,50,2
36,0,20
37,34,9
38,12,19
39,72,65
40,0,53
41,127,104
42,17,52
43,0,60
44,0,39
45,25,18
46,47,36
47,55,44
48,22,4
49,0,3
50,0,0
51,85,47
52,0,43
53,0,40
54,144,118
55,0,5
56,0,11
57,96,51
58,16,56
59,0,2
60,0,48
61,45,40
62,46,48
63,44,36
64,0,8
65,0,17
66,0,39
67,0,24
68,0,7
69,0,7
70,27,18
71,29,26
72,0,48
74,0,17
75,28,55
76,30,30
77,0,14
78,0,0
79,0,11
80,27,30
81,0,4
82,0,9
83,0,8
84,0,0
85,0,12
86,0,12
87,0,0
88,0,19
89,51,32
90,0,25
91,0,10
92,0,12
93,0,5
94,0,23
95,0,9
96,0,25
97,36,25
98,69,12
99,87,75
100,0,18
101,21,18
102,0,44
103,0,14
104,27,20
105,0,3
106,64,52
107,60,46
108,0,33
109,0,9
110,0,11
111,0,7
112,0,18
113,0,9
114,0,10
115,0,17
116,0,7
117,0,40
118,89,70
119,0,14
120,32,26
121,132,106
122,95,88
123,0,1
124,0,20
125,28,50
126,0,12
127,0,7
128,51,40
129,0,3
130,0,10
131,0,22
132,0,0
133,0,0
134,51,41
135,39,29
136,0,0
137,0,0
138,0,0
139,0,30
140,44,36
141,0,30
142,0,19
143,45,88
144,47,41
145,0,6
146,0,30
147,0,30
148,0,50
149,23,21
150,11,90
152,19,16
153,0,19
154,0,14
155,0,39
156,37,53
157,0,5
158,0,17
159,0,32
160,0,18
161,7,5
162,0,13
163,0,1
164,0,49
165,0,1
166,0,40
167,0,15
168,0,79
169,0,18
170,0,36
171,0,32
172,34,31
173,0,24
174,0,44
175,0,9
176,0,40
177,28,42
178,101,85
179,0,0
180,42,19
181,24,16
182,0,52
183,42,35
184,0,32
186,27,22
188,0,6
189,0,12
190,72,52
191,51,39
192,0,5
195,0,2
196,0,9
197,0,4
198,0,7
199,47,44
200,96,65
201,0,4
202,39,42
203,4,66
204,78,72
205,65,62
206,89,69
207,0,63
208,34,23
209,0,15
210,0,21
211,0,12
212,16,43
213,33,26
214,36,7
216,45,37
217,17,21
218,0,96
219,0,6
220,5,84
221,0,34
222,0,16
224,0,1
225,0,18
226,0,9
227,0,3
228,0,0
229,0,43
230,0,64
231,33,30
232,21,16
233,0,2
234,0,30
235,0,2
236,0,10
237,0,3
238,31,57
239,0,9
240,0,17
241,0,13
242,0,8
243,3,13
244,0,7
245,0,3
246,0,25
247,1,39
248,71,61
249,0,12
250,0,13
251,54,70
252,0,23
253,146,126
254,0,10
255,0,8
256,0,8
257,0,8
258,0,2
259,0,48
260,15,11
261,0,27
262,0,4
263,0,6
264,0,56
265,0,40
267,0,7
268,0,20
269,0,1
270,30,56
271,40,18
272,2,11
273,0,7
274,0,21
275,0,2
276,0,6
277,0,2
278,0,9
279,0,14
280,0,16
281,36,30
282,0,96
283,19,15
284,51,25
285,0,16
286,0,12
287,0,18
288,0,9
289,0,4
290,0,45
291,34,29
292,0,17
293,0,28
294,0,5
295,0,6
296,26,138
297,0,20
298,0,25
299,0,6
300,0,3
301,0,9
302,0,48
303,38,39
304,0,2
305,61,51
306,0,30
307,0,1
308,30,22
309,0,62
310,7,5
313,52,43
314,0,13
315,59,38
316,0,27
317,0,39
318,0,15
319,0,43
320,0,12
321,0,2
322,0,32
323,107,86
