paper_id,topic_id
1,3
10,1
100,4
1000,1
1001,1
1002,3
1003,5
1004,1
1005,1
1006,1
1007,1
1008,7
1009,1
101,5
1010,1
1011,1
1012,5
1013,4
1014,4
1015,1
1016,6
1017,2
1018,0
1019,2
102,2
1020,2
1021,1
1022,4
1023,4
1024,4
1025,1
1026,2
1027,2
1028,4
1029,1
103,5
1030,4
1031,1
1032,2
1033,1
1034,1
1035,2
1036,1
1037,1
1038,0
1039,1
104,3
1040,7
1041,6
1042,1
1043,1
1044,1
1045,3
1046,6
1047,3
1048,1
1049,4
105,4
1050,2
1051,1
1052,7
1053,4
1054,0
1055,1
1056,1
1057,4
1058,1
1059,1
106,1
1060,1
1061,0
1062,1
1063,2
1064,0
1065,2
1066,1
1067,1
1068,2
1069,4
107,3
1070,0
1071,4
1072,1
1073,1
1074,3
1075,1
1076,0
1077,1
1078,2
1079,3
108,2
1080,0
1081,1
1082,1
1083,1
1084,3
1085,4
1086,0
1087,1
1088,5
1089,1
109,1
1090,4
1091,0
1092,7
1094,1
1095,0
1096,5
1097,1
1098,2
1099,5
11,1
110,1
1100,1
1101,1
1102,1
1103,3
1104,1
1105,1
1106,2
1107,1
1108,0
1109,0
111,1
1111,1
1112,1
1113,0
1114,2
1115,0
1116,3
1117,5
1118,3
1119,1
112,4
1120,4
1121,0
1122,2
1123,2
1124,0
1125,3
1126,1
1127,1
1128,3
1129,4
113,1
1130,0
1131,6
1132,2
1133,0
1134,1
1135,4
1136,1
1138,1
1139,1
114,1
1140,1
1141,1
1142,1
1143,0
1144,2
1145,2
1146,4
1147,1
1148,4
1149,1
115,4
1150,1
1151,1
1152,1
1153,1
1154,3
1155,1
1156,1
1157,4
1158,4
1159,1
116,4
1160,1
1161,1
1162,1
1163,1
1164,4
1165,5
1166,2
1167,2
1168,3
1169,0
1170,4
1171,5
1172,0
1173,1
1174,4
1175,1
1176,1
1177,1
1178,6
1179,2
118,1
1180,3
1181,1
1182,1
1183,0
1184,1
1185,2
1186,0
1187,6
1188,3
1189,1
119,1
1190,1
1191,2
1192,0
1193,1
1194,0
1195,4
1196,1
1197,1
1198,1
1199,4
12,2
120,4
1200,4
1201,1
1202,2
1203,2
1204,1
1205,1
1206,4
1207,2
1208,3
1209,4
121,1
1210,0
1211,1
1212,1
1213,4
1214,5
1215,1
1216,0
1217,7
1218,2
1219,0
122,1
1220,1
1221,1
1222,6
1223,3
1224,1
1225,1
1226,3
1227,1
1228,1
1229,0
123,1
1230,0
1231,1
1232,1
1233,1
1234,0
1235,0
1236,3
1238,6
1239,1
124,1
1240,3
1241,2
1242,1
1243,1
1244,4
1245,2
1247,0
1248,1
1249,1
125,1
1250,1
1251,2
1252,1
1253,6
1254,1
1255,4
1256,1
1257,1
1258,1
1259,5
126,4
1260,7
1261,1
1262,3
1263,0
1264,5
1265,4
1266,1
1267,1
1268,1
1269,0
127,5
1270,1
1271,1
1272,2
1273,0
1274,4
1275,1
1276,1
1277,2
1278,0
1279,5
128,3
1280,1
1281,5
1282,1
1283,7
1284,0
1285,1
1286,4
1287,4
1288,1
1289,0
129,1
1290,2
1291,3
1292,1
1293,1
1294,3
1295,7
1296,3
1297,0
1298,0
1299,1
13,1
130,7
1301,4
1302,1
1303,1
1304,1
1305,4
1306,1
1307,4
1308,5
1309,3
131,4
1310,3
1311,6
1312,1
1313,1
1314,1
1315,0
1316,5
1317,2
1318,5
1319,4
132,4
1320,1
1321,3
1322,4
1323,1
1324,2
1325,1
1326,6
1327,3
1328,0
1329,3
133,1
1330,4
1331,5
1332,3
1333,0
1334,3
1335,1
1336,4
1337,4
1338,4
1339,2
134,1
1340,0
1341,5
1342,0
1343,0
1344,1
1345,4
1346,3
1347,1
1348,2
1349,0
135,1
1350,1
1351,3
1352,3
1353,2
1354,3
1355,1
1356,1
1357,6
1358,1
1359,5
136,1
1360,3
1361,1
1362,2
1363,7
1364,3
1365,3
1366,0
1367,4
1368,4
1369,1
137,1
1370,1
1371,6
1372,6
1373,1
1374,4
1375,0
1376,7
1377,2
1378,1
1379,5
138,2
1380,2
1381,2
1382,1
1383,0
1384,0
1385,1
1386,0
1387,6
1388,0
1389,1
139,1
1390,1
1391,4
1392,1
1393,1
1394,2
1395,4
1396,4
1397,5
1398,2
1399,3
14,1
140,1
1400,1
1401,4
1402,2
1403,2
1404,0
1405,1
1406,2
1407,0
1408,0
1409,2
141,1
1410,0
1411,2
1412,4
1413,2
1414,3
1415,2
1416,3
1417,1
1418,0
1419,0
142,1
1420,0
1421,3
1422,2
1423,2
1424,0
1425,1
1426,1
1427,0
1429,2
143,5
1430,6
1431,0
1432,1
1433,4
1434,1
1435,3
1436,1
1437,2
1438,1
1439,4
144,2
1440,1
1441,1
1442,4
1443,3
1444,2
1445,3
1446,0
1447,0
1449,1
145,1
1450,3
1452,1
1453,1
1454,5
1455,3
1456,2
1457,6
1458,4
1459,1
146,1
1460,3
1461,4
1462,4
1463,2
1464,0
1465,0
1466,0
1467,1
1468,1
1469,1
147,3
1470,1
1471,2
1472,1
1473,2
1474,3
1475,0
1476,2
1477,4
1478,0
1479,7
148,1
1480,1
1481,0
1482,3
1483,2
1484,5
1485,6
1486,2
1487,2
1488,2
1489,4
149,5
1490,5
1491,6
1492,0
1493,7
1494,4
1495,1
1496,2
1497,2
1498,1
1499,3
15,4
150,1
1500,2
1501,0
1502,2
1503,7
1504,3
1505,2
1506,1
1507,0
1508,2
1509,0
151,4
1510,4
1511,2
1512,5
1513,0
1514,6
1515,1
1516,3
1517,0
1518,4
1519,7
152,3
1520,6
1521,2
1522,2
1523,0
1525,0
1526,4
1527,6
1528,2
1529,1
153,3
1530,1
1531,0
1532,2
1533,4
1534,3
1535,5
1536,1
1537,2
1538,7
1539,2
154,5
1540,3
1541,4
1542,2
1543,2
1544,2
1545,0
1546,4
1547,2
1548,1
1549,2
155,1
1550,0
1551,1
