author_id,cluster_id
1,Cluster1
2,Cluster1
41,Cluster2
54,Cluster2
121,Cluster2
1020,Cluster2
2816,Cluster2
178,Cluster2
350,Cluster2
3161,Cluster2
2187,Cluster2
330,Cluster2
1853,Cluster2
1952,Cluster2
2044,Cluster2
1904,Cluster2
5571,Cluster2
1472,Cluster2
969,Cluster2
583,Cluster2
6338,Cluster2
3584,Cluster2
2237,Cluster2
1370,Cluster2
1935,Cluster2
2458,Cluster2
1814,Cluster2
2686,Cluster2
4638,Cluster2
7564,Cluster2
5014,Cluster2
3001,Cluster2
3555,Cluster2
4483,Cluster2
3959,Cluster2
2850,Cluster3
2057,Cluster4
4,Cluster5
562,Cluster5
1410,Cluster5
8123,Cluster5
8124,Cluster5
3110,Cluster5
3341,Cluster5
8713,Cluster5
632,Cluster6
575,Cluster6
3304,Cluster6
710,Cluster6
2650,Cluster6
2572,Cluster6
2328,Cluster6
3906,Cluster6
4037,Cluster6
5713,Cluster7
6464,Cluster7
7509,Cluster7
3963,Cluster7
5282,Cluster7
3842,Cluster8
2794,Cluster9
1188,Cluster9
678,Cluster9
5523,Cluster10
6446,Cluster11
2460,Cluster12
1282,Cluster13
200,Cluster14
388,Cluster14
1925,Cluster14
1821,Cluster14
2391,Cluster14
2186,Cluster14
709,Cluster15
3862,Cluster15
1280,Cluster15
2581,Cluster15
3062,Cluster15
4814,Cluster16
2258,Cluster16
1670,Cluster16
5163,Cluster16
2744,Cluster17
7483,Cluster17
585,Cluster18
4023,Cluster19
2587,Cluster20
6399,Cluster21
755,Cluster22
4022,Cluster22
385,Cluster23
2485,Cluster23
7298,Cluster23
8826,Cluster23
8824,Cluster23
8825,Cluster23
1474,Cluster24
248,Cluster25
7648,Cluster26
6369,Cluster27
326,Cluster28
424,Cluster29
3932,Cluster30
1766,Cluster31
4369,Cluster32
191,Cluster33
3753,Cluster34
998,Cluster35
7869,Cluster36
7871,Cluster37
7870,Cluster37
937,Cluster38
3422,Cluster39
2385,Cluster39
6452,Cluster40
1171,Cluster41
1612,Cluster41
5030,Cluster42
6504,Cluster43
2056,Cluster44
205,Cluster45
3446,Cluster46
3964,Cluster47
3409,Cluster48
2318,Cluster49
6661,Cluster50
1505,Cluster51
1201,Cluster52
1702,Cluster53
976,Cluster54
2238,Cluster54
2125,Cluster54
1019,Cluster54
3809,Cluster54
2789,Cluster54
6308,Cluster54
2998,Cluster55
4509,Cluster56
4400,Cluster57
6314,Cluster58
2726,Cluster59
1616,Cluster60
3213,Cluster60
2543,Cluster61
4917,Cluster62
5636,Cluster63
2852,Cluster64
2625,Cluster65
2683,Cluster66
3773,Cluster67
9038,Cluster68
9039,Cluster68
9040,Cluster68
1059,Cluster69
308,Cluster70
2045,Cluster71
1648,Cluster72
3253,Cluster73
2312,Cluster74
6368,Cluster75
8333,Cluster76
5303,Cluster77
7133,Cluster78
6366,Cluster79
2911,Cluster80
2944,Cluster81
2945,Cluster81
2946,Cluster81
2943,Cluster81
2781,Cluster82
2747,Cluster83
1831,Cluster84
2788,Cluster84
7181,Cluster85
5399,Cluster85
7180,Cluster85
7179,Cluster85
2384,Cluster86
2197,Cluster87
2161,Cluster88
2320,Cluster89
3871,Cluster90
3872,Cluster90
1183,Cluster91
2133,Cluster92
4275,Cluster92
1885,Cluster93
4278,Cluster94
1464,Cluster95
3620,Cluster96
3895,Cluster96
1357,Cluster97
413,Cluster98
4268,Cluster99
1683,Cluster100
3002,Cluster101
7413,Cluster102
8055,Cluster103
5125,Cluster104
4274,Cluster105
2736,Cluster106
3840,Cluster107
1643,Cluster108
4246,Cluster109
4085,Cluster110
2737,Cluster111
6620,Cluster112
4245,Cluster113
6725,Cluster114
6726,Cluster115
4201,Cluster116
5341,Cluster117
1901,Cluster118
8701,Cluster119
865,Cluster120
2416,Cluster120
2321,Cluster121
1912,Cluster122
2019,Cluster123
7405,Cluster124
2143,Cluster125
1523,Cluster126
6461,Cluster127
3387,Cluster128
3758,Cluster129
3844,Cluster130
2378,Cluster131
5489,Cluster132
8099,Cluster133
8310,Cluster133
6415,Cluster134
2093,Cluster135
8276,Cluster136
6374,Cluster137
549,Cluster138
466,Cluster139
3378,Cluster140
1820,Cluster141
858,Cluster142
552,Cluster143
3877,Cluster144
4126,Cluster144
2592,Cluster145
8539,Cluster146
4033,Cluster147
2220,Cluster148
2999,Cluster149
3000,Cluster149
8096,Cluster150
2540,Cluster151
6457,Cluster152
4679,Cluster153
1265,Cluster154
2539,Cluster155
1926,Cluster156
3593,Cluster157
4524,Cluster158
4452,Cluster159
7235,Cluster160
4262,Cluster161
2899,Cluster162
2215,Cluster163
2847,Cluster164
2570,Cluster165
4185,Cluster166
6582,Cluster167
7192,Cluster168
6631,Cluster169
359,Cluster170
3841,Cluster171
7641,Cluster172
7642,Cluster172
7643,Cluster172
7644,Cluster172
6548,Cluster173
5451,Cluster174
3817,Cluster175
3818,Cluster175
3819,Cluster175
3816,Cluster175
1559,Cluster176
4406,Cluster177
2091,Cluster178
5328,Cluster179
2984,Cluster180
3562,Cluster181
2985,Cluster182
2986,Cluster182
2987,Cluster182
4435,Cluster183
4184,Cluster184
465,Cluster185
1285,Cluster186
4669,Cluster187
6327,Cluster187
6329,Cluster187
6463,Cluster188
2213,Cluster189
4851,Cluster190
3314,Cluster191
2037,Cluster192
1843,Cluster193
6328,Cluster194
6330,Cluster194
6325,Cluster194
6326,Cluster194
2991,Cluster195
4905,Cluster196
5214,Cluster197
5215,Cluster197
3382,Cluster198
2221,Cluster199
1074,Cluster200
281,Cluster201
358,Cluster202
42,Cluster203
2173,Cluster204
1966,Cluster205
2175,Cluster206
1498,Cluster207
1501,Cluster208
8443,Cluster209
6370,Cluster210
2520,Cluster211
3658,Cluster212
9270,Cluster213
9268,Cluster213
9269,Cluster213
6635,Cluster214
6637,Cluster215
5356,Cluster216
7967,Cluster217
2108,Cluster218
3196,Cluster219
3608,Cluster220
6312,Cluster221
7138,Cluster222
7160,Cluster223
7412,Cluster224
7344,Cluster225
4861,Cluster226
4862,Cluster226
4860,Cluster226
7526,Cluster227
3072,Cluster228
3866,Cluster229
2338,Cluster230
5308,Cluster231
5467,Cluster232
3069,Cluster233
4516,Cluster234
5298,Cluster235
5200,Cluster236
6306,Cluster237
1323,Cluster238
7292,Cluster239
3911,Cluster240
4977,Cluster241
6413,Cluster242
1965,Cluster243
4596,Cluster244
3779,Cluster245
7293,Cluster246
5083,Cluster247
7626,Cluster248
7625,Cluster248
7624,Cluster248
4933,Cluster249
2205,Cluster250
6685,Cluster251
7447,Cluster252
2676,Cluster253
7973,Cluster254
6305,Cluster255
6286,Cluster256
7253,Cluster257
7252,Cluster258
1499,Cluster259
1500,Cluster259
8789,Cluster260
8788,Cluster260
966,Cluster261
1817,Cluster262
7681,Cluster263
3633,Cluster264
5078,Cluster265
1642,Cluster266
1644,Cluster266
1645,Cluster266
7978,Cluster267
1404,Cluster268
5521,Cluster269
6628,Cluster270
4295,Cluster271
4297,Cluster271
4224,Cluster272
3539,Cluster273
8073,Cluster274
4132,Cluster275
4134,Cluster276
7212,Cluster277
3313,Cluster278
916,Cluster279
6604,Cluster280
7137,Cluster280
7139,Cluster280
2336,Cluster281
3933,Cluster282
4457,Cluster283
686,Cluster284
3126,Cluster285
4303,Cluster286
4301,Cluster286
2419,Cluster287
3282,Cluster288
732,Cluster289
4128,Cluster290
364,Cluster291
1431,Cluster292
1591,Cluster293
1403,Cluster294
3452,Cluster295
2604,Cluster296
1449,Cluster297
2827,Cluster298
5028,Cluster299
4711,Cluster299
2877,Cluster300
1504,Cluster301
1503,Cluster302
4947,Cluster303
4032,Cluster304
1346,Cluster305
764,Cluster306
6686,Cluster307
829,Cluster308
4112,Cluster309
8126,Cluster310
8127,Cluster310
9071,Cluster310
9072,Cluster310
6617,Cluster311
4626,Cluster312
6347,Cluster313
3009,Cluster314
2118,Cluster315
9218,Cluster316
9219,Cluster316
9216,Cluster316
9217,Cluster316
5132,Cluster317
1091,Cluster318
4455,Cluster319
5404,Cluster320
5406,Cluster320
7218,Cluster321
4784,Cluster322
4898,Cluster323
3294,Cluster324
4568,Cluster325
4567,Cluster326
4113,Cluster327
3543,Cluster328
4667,Cluster329
2732,Cluster330
5583,Cluster331
4867,Cluster332
3673,Cluster333
5657,Cluster334
2260,Cluster335
6533,Cluster336
7909,Cluster337
4163,Cluster338
4081,Cluster339
1940,Cluster340
968,Cluster341
2076,Cluster342
7965,Cluster343
2077,Cluster344
6486,Cluster345
3141,Cluster346
6393,Cluster347
4356,Cluster348
6626,Cluster349
6627,Cluster349
7318,Cluster350
2542,Cluster351
2541,Cluster351
5338,Cluster352
7455,Cluster353
7454,Cluster354
5339,Cluster355
5337,Cluster355
4073,Cluster356
5656,Cluster357
2050,Cluster358
3709,Cluster359
3722,Cluster360
3725,Cluster361
6268,Cluster362
1174,Cluster363
2772,Cluster364
8527,Cluster365
3574,Cluster366
8643,Cluster367
5157,Cluster368
5158,Cluster368
5159,Cluster368
7251,Cluster369
5401,Cluster370
5400,Cluster370
3865,Cluster371
7250,Cluster371
3724,Cluster372
398,Cluster373
43,Cluster374
3188,Cluster375
4389,Cluster376
4395,Cluster377
8802,Cluster378
8805,Cluster379
8806,Cluster379
8807,Cluster379
4396,Cluster380
4397,Cluster380
4394,Cluster380
4523,Cluster381
8118,Cluster382
4768,Cluster383
2109,Cluster384
7425,Cluster385
7426,Cluster385
5381,Cluster386
5375,Cluster386
5376,Cluster386
5377,Cluster386
5378,Cluster386
5379,Cluster386
5380,Cluster386
8060,Cluster387
8538,Cluster388
8323,Cluster389
7638,Cluster390
8048,Cluster391
7911,Cluster392
7910,Cluster392
7466,Cluster393
7467,Cluster393
7465,Cluster393
3162,Cluster394
3163,Cluster394
7968,Cluster395
7969,Cluster395
7633,Cluster396
8536,Cluster397
8537,Cluster397
8422,Cluster398
7636,Cluster399
7637,Cluster399
7634,Cluster399
7635,Cluster399
8782,Cluster400
8783,Cluster400
8784,Cluster400
8785,Cluster400
8786,Cluster400
557,Cluster401
3669,Cluster402
3601,Cluster403
3627,Cluster404
4161,Cluster405
4162,Cluster405
3140,Cluster406
1147,Cluster407
1148,Cluster408
5265,Cluster409
5266,Cluster409
5267,Cluster409
246,Cluster410
4442,Cluster411
7663,Cluster412
7664,Cluster412
7665,Cluster412
4444,Cluster413
5348,Cluster414
749,Cluster415
991,Cluster416
990,Cluster416
5236,Cluster417
5257,Cluster418
4971,Cluster419
7240,Cluster420
1696,Cluster421
1695,Cluster421
4388,Cluster422
7917,Cluster423
7916,Cluster424
7370,Cluster425
2008,Cluster426
8297,Cluster427
8494,Cluster428
4752,Cluster429
4753,Cluster429
8612,Cluster430
9085,Cluster431
9086,Cluster431
9083,Cluster431
9084,Cluster431
3759,Cluster432
5275,Cluster433
4018,Cluster434
8830,Cluster435
8831,Cluster435
7580,Cluster436
7579,Cluster436
3383,Cluster437
3760,Cluster438
5468,Cluster439
