id;University
1;Not in Google Scholar
10;Duke University
100;Not in Google Scholar
1000;Not in Google Scholar
1001;Not in Google Scholar
1002;Not in Google Scholar
1003;Not in Google Scholar
1004;Columbia University
1005;Not in Google Scholar
1006;Not in Google Scholar
1007;Not in Google Scholar
1008;Not in Google Scholar
1009;Not in Google Scholar
101;Not in Google Scholar
1010;U. of Illinois, Chicago
1011;Not in Google Scholar
1012;Not in Google Scholar
1014;Not in Google Scholar
1015;Not in Google Scholar
1016;Not in Google Scholar
1017;Not in Google Scholar
1018;Not in Google Scholar
1019;Not in Google Scholar
102;Not in Google Scholar
1020;University of Cambridge
1021;Not in Google Scholar
1022;Not in Google Scholar
1023;Not in Google Scholar
1025;Not in Google Scholar
1026;Not in Google Scholar
1027;Not in Google Scholar
1028;Not in Google Scholar
1029;Not in Google Scholar
103;Not in Google Scholar
1030;Case Western Reserve University
1031;NEC Laboratories America Inc
1032;Rutgers University
1033;Not in Google Scholar
1034;Not in Google Scholar
1035;Not in Google Scholar
1036;Northwestern University
1037;Not in Google Scholar
1038;Not in Google Scholar
1039;Not in Google Scholar
104;University of Cyprus
1040;Not in Google Scholar
1041;Not in Google Scholar
1042;Utah State University
1044;Not in Google Scholar
1045;Not in Google Scholar
1046;Not in Google Scholar
1047;Nanyang Technological University, Singapore
1048;Not in Google Scholar
1049;Not in Google Scholar
105;Not in Google Scholar
1050;Not in Google Scholar
1051;Not in Google Scholar
1052;Not in Google Scholar
1053;Not in Google Scholar
1054;Not in Google Scholar
1055;Not in Google Scholar
1056;McGill University
1057;University of California, San Diego
1058;IT University of Copenhagen
1059;Not in Google Scholar
106;Caltech
1060;University of California at Los Angeles
1061;Not in Google Scholar
1063;Not in Google Scholar
1064;University of Wisconsin Madison
1066;Hewlett-Packard
1067;Not in Google Scholar
1068;Not in Google Scholar
1069;Not in Google Scholar
107;Stanford University
1070;Not in Google Scholar
1071;Not in Google Scholar
1072;Not in Google Scholar
1073;American University of Beirut
1074;UC Berkeley
1075;Not in Google Scholar
1076;Portland State University
1077;Not in Google Scholar
1078;Not in Google Scholar
1079;Michigan State University
108;Not in Google Scholar
1080;Univ. of Florida
1081;Not in Google Scholar
1082;Not in Google Scholar
1083;Not in Google Scholar
1085;Not in Google Scholar
1086;Not in Google Scholar
1087;Not in Google Scholar
1088;Trinity College
1089;Not in Google Scholar
109;Not in Google Scholar
1090;Not in Google Scholar
1091;Not in Google Scholar
1094;Not in Google Scholar
1095;Instituto Superior Técnico
1096;Ford Motor Company
1098;University of Padova
1099;Not in Google Scholar
11;Ecole Polytechnique Federale de Lausanne
110;Not in Google Scholar
1100;Not in Google Scholar
1101;University of Manchester
1102;Not in Google Scholar
1103;Google, Inc
1104;Keele University
1105;Not in Google Scholar
1106;Not in Google Scholar
1107;Not in Google Scholar
1108;Not in Google Scholar
1109;Not in Google Scholar
111;Not in Google Scholar
1112;Not in Google Scholar
1113;Not in Google Scholar
1114;Not in Google Scholar
1115;Not in Google Scholar
1116;Not in Google Scholar
1117;Not in Google Scholar
1118;Not in Google Scholar
1119;Not in Google Scholar
112;Not in Google Scholar
1120;Not in Google Scholar
1122;Not in Google Scholar
1123;Not in Google Scholar
1124;Not in Google Scholar
1125;Not in Google Scholar
1126;Not in Google Scholar
1128;Not in Google Scholar
1129;Not in Google Scholar
113;Not in Google Scholar
1130;Not in Google Scholar
1131;Not in Google Scholar
1132;Not in Google Scholar
1133;Not in Google Scholar
1134;Not in Google Scholar
1135;Not in Google Scholar
1136;Not in Google Scholar
1137;University of British Columbia
1138;Not in Google Scholar
