,cluster_id,author_id
0,7,1
1,7,2
2,11,4
3,21,5
4,7,418
5,8,711
6,3,736
7,23,1389
8,11,1478
9,3,1582
10,12,2094
11,12,2095
12,3,6958
13,3,6959
14,3,6960
15,3,6961
16,11,7802
17,1,7
18,1,8
19,7,9
20,7,10
21,11,11
22,11,100
23,14,12
24,14,546
25,1,13
26,11,94
27,14,14
28,11,1160
29,11,7085
30,11,7086
31,11,15
32,11,16
33,11,17
34,11,18
35,8,134
36,11,167
37,11,168
38,7,171
39,7,788
40,7,789
41,13,1031
42,23,7023
43,7,7113
44,11,169
45,11,508
46,11,25
47,7,166
48,11,170
49,13,200
50,11,395
51,8,19
52,8,245
53,8,417
54,8,21
55,11,22
56,11,23
57,11,112
58,11,113
59,11,114
60,19,390
61,11,530
62,11,819
63,8,1066
64,8,1858
65,14,24
66,14,366
67,9,26
68,18,509
69,3,732
70,3,1511
71,24,3011
72,1,3791
73,1,28
74,1,29
75,1,30
76,1,31
77,1,384
78,8,33
79,1,34
80,1,35
81,1,119
82,1,120
83,12,334
84,23,335
85,23,336
86,12,337
87,23,338
88,23,405
89,8,406
90,8,688
91,11,36
92,11,37
93,14,38
94,14,39
95,1,40
96,1,43
97,14,58
98,8,68
99,8,69
100,14,41
101,8,42
102,8,44
103,8,281
104,1,358
105,1,359
106,8,360
107,1,403
108,1,443
109,14,466
110,14,467
111,1,764
112,11,829
113,9,915
114,1,916
115,10,991
116,7,1183
117,1,7855
118,23,45
119,23,46
120,16,244
121,23,1190
122,23,1191
123,1,47
124,8,48
125,8,49
126,1,314
127,8,315
128,1,354
129,1,355
130,8,898
131,11,933
132,8,1232
133,8,1233
134,8,51
135,8,52
136,11,53
137,11,54
138,11,383
139,19,1517
140,18,3634
141,18,3635
142,18,3636
143,18,3637
144,18,3638
145,18,3639
146,12,449
147,12,450
148,12,451
149,7,599
150,1,632
151,11,787
152,7,998
153,7,1337
154,7,1338
155,7,1339
156,19,56
157,1,57
158,8,306
159,8,307
160,8,60
161,8,61
162,8,62
163,14,63
164,14,64
165,1,65
166,1,66
167,11,67
168,11,489
169,11,588
170,8,1985
171,8,1986
172,8,1987
173,8,1988
174,11,70
175,11,71
176,11,72
177,11,7102
178,8,74
179,11,75
180,8,76
181,7,725
182,7,726
183,11,191
184,8,77
185,8,95
186,8,206
187,15,78
188,15,79
189,7,81
190,7,82
191,7,83
192,8,84
193,8,85
194,21,86
195,21,87
196,11,90
197,11,91
198,14,1485
199,14,1657
200,8,96
201,11,97
202,21,590
203,11,785
204,11,1299
205,11,1300
206,11,98
207,11,144
208,11,256
209,11,99
210,11,221
211,11,371
212,18,428
213,18,429
214,8,566
215,18,870
216,18,871
217,11,977
218,18,1015
219,11,1162
220,11,2865
221,13,6300
222,8,670
223,11,101
224,14,216
225,11,941
226,16,1272
227,8,103
228,8,104
229,8,105
230,11,106
231,8,107
232,14,108
233,14,109
234,11,110
235,12,111
236,12,309
237,12,525
238,12,526
239,12,694
240,12,695
241,12,696
242,12,697
243,11,116
244,11,117
245,11,118
246,13,121
247,11,122
248,7,388
249,6,755
250,7,756
251,23,859
252,6,1020
253,6,1616
254,22,1925
255,11,1931
256,13,2816
257,11,3411
258,23,4083
259,23,4084
260,13,4814
261,9,5026
262,7,7762
263,11,8481
264,1,124
265,11,125
266,1,126
267,1,127
268,11,189
269,1,261
270,1,543
271,1,544
272,1,668
273,11,550
274,1,382
275,9,128
276,9,129
277,1,133
278,8,135
279,1,136
280,11,776
281,23,1778
282,23,1964
283,23,3020
284,11,7043
285,11,139
286,11,140
287,11,356
288,18,421
289,19,2404
290,14,141
291,14,142
292,1,143
293,1,145
294,1,7107
295,11,164
296,8,165
297,11,7057
298,11,146
299,9,147
300,9,148
301,13,149
302,18,150
303,5,3776
304,14,152
305,14,153
306,14,154
307,1,155
308,11,156
309,11,157
310,11,159
311,11,161
312,11,160
313,11,162
314,11,163
315,8,7711
316,10,172
317,18,173
318,18,174
319,4,248
320,1,589
321,18,1080
322,10,1918
323,10,1919
324,10,1920
325,12,175
326,12,506
327,12,507
328,12,7108
329,12,176
330,12,591
331,12,592
332,12,593
333,12,594
334,12,7706
335,12,7707
336,12,7708
337,13,178
338,12,179
339,12,180
340,12,181
341,23,350
342,18,351
343,18,352
344,12,745
345,12,746
346,23,976
347,11,1348
348,11,1445
349,22,1595
350,23,1736
351,23,1843
352,5,1874
353,12,2036
354,23,2037
355,11,2109
