author_id,cluster_id
1, 3 
2, 3 
3, 4 
4, 16 
5, 0 
6, 0 
7, 10 
8, 10 
9, 3 
10, 3 
11, 0 
12, 10 
13, 0 
14, 0 
15, 0 
16, 3 
17, 0 
18, 16 
19, 9 
20, 0 
21, 16 
22, 0 
23, 0 
24, 10 
25, 0 
26, 20 
27, 3 
28, 10 
29, 10 
30, 10 
31, 10 
32, 18 
33, 0 
34, 10 
35, 10 
36, 10 
37, 10 
38, 10 
39, 10 
40, 14 
41, 14 
42, 3 
43, 10 
44, 3 
45, 0 
46, 16 
47, 14 
48, 10 
49, 10 
50, 18 
51, 0 
52, 10 
53, 16 
54, 19 
55, 11 
56, 0 
57, 10 
58, 10 
59, 10 
60, 0 
61, 0 
62, 0 
63, 0 
64, 0 
65, 10 
66, 10 
67, 0 
68, 10 
69, 10 
70, 0 
71, 0 
72, 0 
74, 0 
75, 0 
76, 0 
77, 4 
78, 11 
79, 11 
80, 0 
81, 3 
82, 3 
83, 3 
84, 0 
85, 0 
86, 11 
87, 11 
88, 10 
89, 16 
90, 10 
91, 10 
92, 10 
93, 10 
94, 16 
95, 4 
96, 10 
97, 16 
98, 0 
99, 16 
100, 0 
101, 0 
102, 0 
103, 9 
104, 9 
105, 9 
106, 0 
107, 0 
108, 11 
109, 11 
110, 0 
111, 16 
112, 0 
113, 0 
114, 0 
115, 0 
116, 9 
117, 9 
118, 0 
119, 10 
120, 10 
121, 19 
122, 0 
123, 0 
124, 10 
125, 10 
126, 10 
127, 10 
128, 3 
129, 3 
130, 10 
131, 0 
132, 9 
133, 10 
134, 0 
135, 3 
136, 10 
137, 0 
138, 0 
139, 0 
140, 8 
141, 11 
142, 11 
143, 11 
144, 0 
145, 11 
146, 0 
147, 0 
148, 0 
149, 0 
150, 0 
152, 0 
153, 0 
154, 0 
155, 10 
156, 9 
157, 9 
158, 9 
159, 3 
160, 3 
161, 3 
162, 10 
163, 10 
164, 0 
165, 0 
166, 3 
167, 0 
168, 0 
169, 0 
170, 0 
171, 3 
172, 20 
173, 11 
174, 11 
175, 0 
176, 3 
177, 10 
178, 19 
179, 0 
180, 0 
181, 0 
182, 16 
183, 10 
184, 10 
186, 10 
188, 0 
189, 0 
190, 0 
191, 19 
192, 10 
195, 10 
196, 10 
197, 10 
198, 10 
199, 0 
200, 16 
201, 0 
202, 0 
203, 0 
204, 0 
205, 2 
206, 4 
207, 10 
208, 10 
209, 10 
210, 0 
211, 9 
212, 9 
213, 3 
214, 0 
216, 10 
217, 16 
218, 0 
219, 10 
220, 10 
221, 16 
222, 0 
224, 0 
225, 0 
226, 0 
227, 0 
228, 0 
229, 16 
230, 10 
231, 16 
232, 0 
233, 0 
234, 0 
235, 9 
236, 11 
237, 11 
238, 11 
239, 16 
240, 0 
241, 0 
242, 0 
243, 0 
244, 0 
245, 0 
246, 16 
247, 0 
248, 12 
249, 3 
250, 3 
251, 10 
252, 9 
253, 7 
254, 0 
255, 0 
256, 0 
257, 0 
258, 0 
259, 0 
260, 0 
261, 10 
262, 3 
263, 3 
264, 9 
265, 8 
267, 0 
268, 0 
269, 0 
270, 10 
271, 10 
272, 10 
273, 10 
274, 10 
275, 10 
276, 10 
277, 10 
278, 10 
279, 10 
280, 11 
281, 16 
282, 10 
283, 3 
284, 10 
285, 10 
286, 10 
287, 10 
288, 10 
289, 10 
290, 0 
291, 16 
292, 16 
293, 16 
294, 10 
295, 10 
296, 11 
297, 0 
298, 0 
299, 0 
300, 0 
301, 0 
302, 0 
303, 16 
304, 0 
305, 3 
306, 10 
307, 10 
308, 20 
309, 16 
310, 0 
313, 0 
314, 10 
315, 10 
316, 0 
317, 0 
318, 0 
319, 0 
320, 3 
321, 0 
322, 0 
323, 0 
324, 0 
325, 13 
326, 13 
327, 7 
328, 10 
329, 14 
330, 5 
331, 0 
332, 16 
333, 9 
334, 0 
335, 0 
336, 0 
337, 0 
338, 0 
339, 3 
340, 3 
341, 0 
342, 0 
343, 2 
344, 18 
345, 0 
346, 0 
347, 8 
348, 0 
349, 0 
350, 12 
351, 0 
352, 0 
353, 0 
354, 0 
355, 10 
356, 0 
357, 0 
358, 0 
359, 10 
360, 0 
361, 10 
362, 10 
363, 10 
364, 16 
365, 10 
366, 10 
367, 3 
368, 16 
369, 18 
370, 11 
371, 16 
372, 0 
373, 16 
374, 11 
375, 11 
376, 0 
377, 0 
378, 9 
379, 0 
380, 0 
381, 3 
382, 10 
383, 0 
384, 10 
385, 20 
386, 20 
387, 3 
388, 12 
389, 0 
390, 10 
391, 20 
392, 0 
393, 10 
394, 10 
395, 16 
396, 10 
397, 0 
398, 10 
399, 0 
400, 10 
401, 10 
402, 0 
403, 14 
404, 0 
405, 16 
406, 0 
407, 0 
408, 0 
409, 0 
410, 0 
411, 0 
412, 3 
413, 8 
414, 3 
415, 3 
416, 9 
417, 9 
418, 20 
419, 0 
420, 0 
