author_id,institution_id
10, 149 
1004, 121 
1010, 661 
1020, 777 
1030, 91 
1031, 465 
1032, 548 
1036, 486 
104, 792 
1042, 1008 
1047, 440 
1056, 398 
1057, 772 
1058, 323 
106, 80 
1060, 756 
1064, 958 
1066, 246 
107, 585 
1073, 20 
1074, 664 
1076, 519 
1079, 409 
1080, 694 
1088, 635 
1095, 314 
1096, 199 
1098, 894 
11, 166 
1101, 845 
1103, 227 
1104, 336 
1137, 749 
1141, 333 
1143, 23 
1151, 626 
1152, 777 
1153, 570 
1163, 952 
1164, 261 
1167, 851 
1168, 980 
1173, 585 
1175, 107 
1177, 493 
1183, 77 
1188, 419 
1195, 1038 
1198, 192 
120, 997 
1201, 669 
1202, 48 
1205, 153 
121, 940 
122, 585 
1220, 894 
1221, 607 
1222, 434 
1228, 223 
1235, 929 
1237, 74 
1238, 198 
1243, 227 
1246, 241 
1247, 917 
1251, 429 
1252, 723 
1254, 777 
1259, 334 
1261, 874 
1262, 874 
1265, 585 
1266, 419 
1269, 773 
1271, 419 
1273, 64 
1275, 161 
1276, 845 
1278, 618 
1280, 227 
1281, 364 
1286, 909 
1288, 664 
1291, 847 
1293, 933 
1297, 152 
1298, 958 
13, 76 
1302, 109 
1303, 526 
1308, 207 
1309, 996 
1310, 676 
1311, 692 
1312, 929 
1313, 89 
1321, 814 
1323, 252 
1326, 239 
1332, 941 
1335, 537 
1337, 607 
1343, 755 
1345, 89 
135, 177 
1351, 932 
1355, 585 
1361, 312 
1366, 624 
1370, 940 
1376, 330 
1379, 18 
1383, 1003 
1386, 777 
1387, 227 
1388, 89 
1389, 196 
1390, 126 
1397, 474 
1399, 805 
140, 89 
1400, 805 
1403, 532 
1404, 604 
1408, 128 
1413, 473 
1427, 771 
1428, 519 
1429, 775 
143, 743 
1431, 612 
1432, 612 
1438, 898 
1440, 1 
1441, 389 
1448, 1028 
1449, 664 
1451, 846 
1453, 13 
1454, 322 
1458, 218 
1459, 1039 
1464, 697 
1466, 289 
1471, 749 
1474, 607 
1477, 31 
1483, 763 
1484, 89 
1487, 216 
1490, 417 
1491, 851 
1498, 497 
15, 807 
150, 637 
1500, 536 
1501, 698 
1504, 227 
1505, 419 
1507, 966 
1508, 875 
1509, 37 
1521, 474 
1522, 966 
1523, 241 
1524, 462 
1526, 334 
1528, 925 
1531, 1 
1538, 227 
1544, 223 
1547, 66 
1548, 560 
1550, 770 
1557, 926 
1559, 462 
1560, 15 
1561, 400 
1562, 749 
1565, 42 
1567, 326 
1573, 398 
1574, 874 
1575, 482 
1578, 674 
1582, 748 
1583, 518 
1584, 252 
1586, 16 
1589, 683 
159, 794 
1590, 845 
1591, 612 
1593, 664 
1597, 796 
16, 465 
1602, 149 
1603, 766 
1605, 338 
1606, 796 
1612, 15 
1617, 30 
1618, 405 
