id;name;H-index;University;;
1;Hisashi Suzuki; Not in Google Scholar; Not in Google Scholar;;
10;David Brady;51; Duke University;;
100;Santosh S. Venkatesh; Not in Google Scholar; Not in Google Scholar;;
1000;Charles Fefferman; Not in Google Scholar; Not in Google Scholar;;
1001;Scott Markel; Not in Google Scholar; Not in Google Scholar;;
1002;Gregory J. Wolff; Not in Google Scholar; Not in Google Scholar;;
1003;Timothy W. Cacciatore; Not in Google Scholar; Not in Google Scholar;;
1004;Paul Sajda;38; Columbia University;;
1005;Leif H. Finkel; Not in Google Scholar; Not in Google Scholar;;
1006;Arun K. Jagota; Not in Google Scholar; Not in Google Scholar;;
1007;Asriel U. Levin; Not in Google Scholar; Not in Google Scholar;;
1008;Richard Coggins; Not in Google Scholar; Not in Google Scholar;;
1009;Mitchell Gil Maltenfort; Not in Google Scholar; Not in Google Scholar;;
101;Fernando J. Pineda;21; ;;
1010;Robert E. Druzinsky;13; U. of Illinois, Chicago;;
1011;C. J. Heckman; Not in Google Scholar; Not in Google Scholar;;
1012;W. Zev Rymer; Not in Google Scholar; Not in Google Scholar;;
1014;Catherine Stevens;0; ;;
1015;Jacob Engelbrecht;15; ;;
1016;Mark Plutowski; Not in Google Scholar; Not in Google Scholar;;
1017;Shinichi Sakata; Not in Google Scholar; Not in Google Scholar;;
1018;Halbert White; Not in Google Scholar; Not in Google Scholar;;
1019;Tommi Jaakkola; Not in Google Scholar; Not in Google Scholar;;
102;James C. Houk; Not in Google Scholar; Not in Google Scholar;;
1020;Zoubin Ghahramani;84; University of Cambridge;;
1021;Eric Boussard; Not in Google Scholar; Not in Google Scholar;;
1022;Jean-Fran?ois Vibert; Not in Google Scholar; Not in Google Scholar;;
1023;Justin A. Boyan; Not in Google Scholar; Not in Google Scholar;;
1025;Reinhard Blasig; Not in Google Scholar; Not in Google Scholar;;
1026;Anthony C. C. Coolen; Not in Google Scholar; Not in Google Scholar;;
1027;R. W. Penney; Not in Google Scholar; Not in Google Scholar;;
1028;D. Sherrington; Not in Google Scholar; Not in Google Scholar;;
1029;Brooks Bishofberger; Not in Google Scholar; Not in Google Scholar;;
103;Andreas Stafylopatis; Not in Google Scholar; Not in Google Scholar;;
1030;Michael S. Lewicki;28; Case Western Reserve University;;
1031;Eric Cosatto;31; NEC Laboratories America Inc;;
1032;Richard H. Lathrop;36; Rutgers University;;
1033;Tom?s Lozano-P?rez; Not in Google Scholar; Not in Google Scholar;;
1034;Peter F. Rowat; Not in Google Scholar; Not in Google Scholar;;
1035;Reza Shadmehr;64; ;;
1036;Ferdinando A. Mussa-Ivaldi;54; Northwestern University;;
1037;Stefan Schaal;74; ;;
1038;Daniel J. Rosen; Not in Google Scholar; Not in Google Scholar;;
1039;Eric I. Knudsen; Not in Google Scholar; Not in Google Scholar;;
104;Marios D. Dikaiakos;27; University of Cyprus;;
1040;Audrey L. Guzik; Not in Google Scholar; Not in Google Scholar;;
1041;Robert C. Eaton; Not in Google Scholar; Not in Google Scholar;;
1042;Nicholas S. Flann;22; Utah State University;;
1044;Robert M. French;33; ;;
1045;Laurens R. Leerink; Not in Google Scholar; Not in Google Scholar;;
1046;Corinna Cortes;42; ;;
1047;Xin Wang;61; Nanyang Technological University, Singapore;;
1048;Qingnan Li; Not in Google Scholar; Not in Google Scholar;;
1049;Edward K. Blum; Not in Google Scholar; Not in Google Scholar;;
105;D. Kontoravdis; Not in Google Scholar; Not in Google Scholar;;
1050;Ralph Neuneier; Not in Google Scholar; Not in Google Scholar;;
1051;Stelios M. Smirnakis; Not in Google Scholar; Not in Google Scholar;;
1052;Steven S. Watkins;40; ;;
1053;Paul M. Chau; Not in Google Scholar; Not in Google Scholar;;
1054;Raoul Tawel; Not in Google Scholar; Not in Google Scholar;;
1055;Bjorn Lambrigtsen; Not in Google Scholar; Not in Google Scholar;;
1056;Thomas R. Shultz;46; McGill University;;
1057;Jeffrey L. Elman;60; University of California, San Diego;;
1058;Thomas H. Hildebrandt;22; IT University of Copenhagen;;
1059;Christoph Bregler; Not in Google Scholar; Not in Google Scholar;;
106;Jehoshua Bruck;64; Caltech;;
1060;Ali H. Sayed;72; University of California at Los Angeles;;
1061;Changfeng Wang; Not in Google Scholar; Not in Google Scholar;;
1063;Vladimir Cherkassky; Not in Google Scholar; Not in Google Scholar;;
1064;Olvi L. Mangasarian;81; University of Wisconsin Madison;;
1066;Bill G. Horne;28; Hewlett-Packard;;
1067;Don R. Hush; Not in Google Scholar; Not in Google Scholar;;
1068;Richard T. J. Bostock; Not in Google Scholar; Not in Google Scholar;;
1069;Alan J. Harget; Not in Google Scholar; Not in Google Scholar;;
107;Joseph W. Goodman;60; Stanford University;;
1070;Iris Ginzburg; Not in Google Scholar; Not in Google Scholar;;
1071;Nanda Kambhatla; Not in Google Scholar; Not in Google Scholar;;
1072;Richard O. Duda; Not in Google Scholar; Not in Google Scholar;;
1073;Joachim Diederich; Not in Google Scholar; American University of Beirut;;
1074;Bruno A. Olshausen;41; UC Berkeley;;
1075;Yasuhiro Wada; Not in Google Scholar; Not in Google Scholar;;
1076;Melanie Mitchell;42; Portland State University;;
1077;John H. Holland;4; ;;
1078;Stephanie Forrest;70; ;;
1079;Steven Gold;27; Michigan State University;;
108;William Baxter; Not in Google Scholar; Not in Google Scholar;;
1080;Anand Rangarajan;41; Univ. of Florida;;
1081;Oded Maron; Not in Google Scholar; Not in Google Scholar;;
1082;K? Sakai; Not in Google Scholar; Not in Google Scholar;;
1083;Roderic A. Grupen; Not in Google Scholar; Not in Google Scholar;;
1085;Kenneth M. Buckland; Not in Google Scholar; Not in Google Scholar;;
1086;Peter D. Lawrence;33; ;;
1087;Mike Hochberg; Not in Google Scholar; Not in Google Scholar;;
1088;Anthony J. Robinson;23; Trinity College;;
1089;Thea B. Ghiselli-Crippa; Not in Google Scholar; Not in Google Scholar;;
109;Bruce Dow; Not in Google Scholar; Not in Google Scholar;;
1090;Yehuda Salu; Not in Google Scholar; Not in Google Scholar;;
1091;Haim Sompolinsky;66; ;;
1094;Ralph Wolf; Not in Google Scholar; Not in Google Scholar;;
1095;Arlindo L. Oliveira;32; Instituto Superior Técnico;;
1096;K. Venkatesh Prasad;24; Ford Motor Company;;
1098;Alessandro Sperduti;30; University of Padova;;
1099;Kevin R. Farrell; Not in Google Scholar; Not in Google Scholar;;
11;Demetri Psaltis;84; Ecole Polytechnique Federale de Lausanne;;
110;Mark Derthick; Not in Google Scholar; Not in Google Scholar;;
1100;Richard J. Mammone; Not in Google Scholar; Not in Google Scholar;;
1101;Jonathan L. Shapiro;34; University of Manchester;;
1102;Adam Pr?gel-Bennett; Not in Google Scholar; Not in Google Scholar;;
1103;Shumeet Baluja;47; Google, Inc;;
1104;Michael Murray;34; Keele University;;
1105;Ming-Tak Leung; Not in Google Scholar; Not in Google Scholar;;
1106;Kan Boonyanit; Not in Google Scholar; Not in Google Scholar;;
1107;Kong Kritayakirana; Not in Google Scholar; Not in Google Scholar;;
1108;James B. Burg; Not in Google Scholar; Not in Google Scholar;;
1109;Tokahiro Watanabe; Not in Google Scholar; Not in Google Scholar;;
111;Joe Tebelskis; Not in Google Scholar; Not in Google Scholar;;
1112;Michael O. Duff;20; ;;
1113;Chien-Ping Lu;5; ;;
1114;G. T. Buracas; Not in Google Scholar; Not in Google Scholar;;
1115;T. D. Albright; Not in Google Scholar; Not in Google Scholar;;
1116;Lynne Kiorpes; Not in Google Scholar; Not in Google Scholar;;
1117;Gary G. Blasdel; Not in Google Scholar; Not in Google Scholar;;
1118;Didier Keymeulen; Not in Google Scholar; Not in Google Scholar;;
1119;Martine de Gerlache; Not in Google Scholar; Not in Google Scholar;;
112;Guo-Zheng Sun; Not in Google Scholar; Not in Google Scholar;;
1120;Gary William Flake;37; ;;
1122;Charles A. Micchelli;64; ;;
1123;Martin Lades; Not in Google Scholar; Not in Google Scholar;;
1124;Saeed Hadjifaradji; Not in Google Scholar; Not in Google Scholar;;
1125;Yuriko Oshima-Takane; Not in Google Scholar; Not in Google Scholar;;
1126;Yoshio Takane; Not in Google Scholar; Not in Google Scholar;;
1128;David Price;71; ;;
1129;Stefan Knerr; Not in Google Scholar; Not in Google Scholar;;
113;Yee-Chun Lee; Not in Google Scholar; Not in Google Scholar;;
1130;Ki-Chul Kim; Not in Google Scholar; Not in Google Scholar;;
1131;Hwang-Soo Lee; Not in Google Scholar; Not in Google Scholar;;
1132;Anton Schwartz; Not in Google Scholar; Not in Google Scholar;;
1133;James J. Knierim; Not in Google Scholar; Not in Google Scholar;;
1134;Hemant S. Kudrimoti; Not in Google Scholar; Not in Google Scholar;;
1135;Svilen Tzonev; Not in Google Scholar; Not in Google Scholar;;
1136;Joseph G. Malpeli; Not in Google Scholar; Not in Google Scholar;;
1137;Sidney Fels;37; University of British Columbia;;
1138;David A. Nix; Not in Google Scholar; Not in Google Scholar;;
1139;Stefan Heil; Not in Google Scholar; Not in Google Scholar;;
