university_id;university_name
0;A*STAR
1;Aalto University
2;Aalto Yliopisto
3;Aarhus University
4;AbbVie
5;Academia Sinica
6;Acadia University
7;Adobe
8;Advanced Telecommunications Research Institute International
9;AgroParisTech
10;AIST
11;Aix-Marseille University
13;Albert-Ludwigs-Universitaet Freiburg
15;Allen Institute for Brain Science
16;Amazon
18;American Cancer Society
19;American University
20;American University of Beirut
21;Ames laboratory
22;Analog Devices
23;ANUSANDHAN UNIVERSITY, BHUBANESWAR
24;Apple
26;Applied Materials
27;Argonne National Laboratory
28;Ariel University
29;Arizona State University
30;Asian Institute of Technology
31;Aston University
32;Athens University of Economics and Business
33;ATR
34;Auburn University
35;Auckland
36;Australian National University
37;Austrian Research Institute for Artificial Intelligence
38;BAE Systems
39;Baidu
41;Bar Ilan University
42;Bar-Ilan University
43;Baylor College of Medicine
44;Baylor University
45;BBN Technologies
46;Beijing Computational Science Research Center
47;Beijing University of Chemical Technology
48;Beijing University of Technology
49;Bell Labs
50;Ben Gurion University
54;Berkeley
56;Berlin University of Technology
57;Bernstein Center for Computational Neuroscience Berlin
58;Bielefeld University
59;Bilkent University
60;Binghamton University
61;Bloomberg
63;Bocconi University
64;Bogazici University, Istanbul
65;Bonn Univ
66;Boston University
67;Bowdoin College
68;Brandeis University
69;Brigham Young University
70;Brown
71;Brown University
73;Brunel University London
74;Bruno Kessler Foundation
75;Bryant University
76;Cairo University
77;California Institute of Technology
78;California State University, Los Angeles
79;California State University, Stanislaus
80;Caltech
81;CalTech
82;Cambridge University
83;Cardiff University
84;Carl Zeiss
85;Carleton University
89;Carnegie Mellon University
91;Case Western Reserve University
92;CEA
93;Cedars Sinai Medical Center
95;Central South University
96;Central South University, Changsha
97;Centrum Wiskunde &  Informatica
98;CERN
99;Chalmers
101;Chalmers University of Technology
102;Champalimaud Neuroscience Programme
103;Chapman University
104;chinese academy of sciences
105;Chinese University of Hong Kong
106;Chongqing University
107;Chubu University
108;Cincinnati Children's Hospital Medical Center
109;City College of New York
110;City University London
111;City University of Hong Kong
112;Claremont McKenna College
113;Clarkson University
114;Clemson University
115;CMU
116;CNRS
117;College of William and Mary
118;Colorado School of Mines
119;Colorado State University
121;Columbia University
122;CONICET
126;Cornell University
128;CQU
129;CSHL
130;CSIC
131;CUHK
132;CWI Amsterdam
133;Czech Technical University in Prague
134;Daimler AG
135;Dalhousie University
136;Dalian University of Technology
138;Dartmouth College
139;Deakin University
140;Delft University of Technology
141;Denison University
142;DGIST
143;Dickinson College
144;Disney Research
145;DKFZ
146;Drexel University
147;DSO National Laboratories
149;Duke University
151;Dunarea de Jos University of Galati
152;Duquesne University
153;Durban University of Technology
154;Durham University
155;Eastman Chemical
156;Eberhard Karls Universität Tübingen
157;Ecole Centrale Paris
159;Ecole des Ponts ParisTech
160;Ecole Normale Superieure
161;Ecole Normale Supérieure de Lyon
162;Ecole Normale Supérieure Paris
166;Ecole Polytechnique Federale de Lausanne
168;Ecole Polytechnique, Paris
169;Edinburgh University
170;Edmund Mach Foundation
171;Eindhoven University of Technology
