paperId,topicId,topicWeight
1,3,0.4093
10,2,0.5585
100,4,0.717
1000,1,0.6251
1001,1,0.4914
1002,3,0.4969
1003,2,0.3329
1004,4,0.6008
1005,4,0.4148
1006,4,0.7293
1007,5,0.5688
1008,1,0.8158
1009,3,0.7452
101,3,0.7011
1010,7,0.58
1011,1,0.3177
1012,3,0.7247
1013,2,0.9002
1014,2,0.8525
1015,3,0.5782
1016,3,0.8722
1017,2,0.9236
1018,5,0.7393
1019,7,0.4263
102,2,0.5394
1020,2,0.427
1021,3,0.4225
1022,6,0.3697
1023,4,0.6669
1024,2,0.4432
1025,2,0.8836
1026,2,0.754
1027,3,0.9067
1028,6,0.2784
1029,1,0.6757
103,3,0.4946
1030,4,0.8792
1031,4,0.3841
1032,2,0.5534
1033,2,0.5805
1034,3,0.4686
1035,2,0.6705
1036,1,0.607
1037,4,0.6353
1038,5,0.5059
1039,3,0.9838
104,3,0.5609
1040,2,0.3295
1041,2,0.5147
1042,5,0.5967
1043,5,0.3776
1044,1,0.4759
1045,0,0.5161
1046,2,0.4842
1047,3,0.3293
1048,1,0.6705
1049,4,0.4454
105,3,0.7779
1050,3,0.3095
1051,3,0.5875
1052,1,0.3356
1053,2,0.4918
1054,3,0.3698
1055,2,0.5235
1056,3,0.7103
1057,4,0.8637
1058,3,0.4538
1059,3,0.5351
106,7,0.4532
1060,3,0.6524
1061,3,0.4873
1062,4,0.3107
1063,7,0.395
1064,1,0.6636
1065,1,0.3369
1066,4,0.3429
1067,3,0.6948
1068,2,0.7182
1069,4,0.5694
107,3,0.5315
1070,3,0.5986
1071,2,0.8268
1072,3,0.5324
1073,5,0.789
1074,7,0.3632
1075,3,0.6316
1076,3,0.5623
1077,7,0.3747
1078,2,0.3659
1079,7,0.3624
108,0,0.3884
1080,1,0.4597
1081,1,0.4386
1082,7,0.5315
1083,4,0.4777
1084,3,0.3466
1085,0,0.125
1086,3,0.4946
1087,2,0.596
1088,3,0.5081
1089,5,0.5182
109,3,0.8216
1090,0,0.125
1091,7,0.329
1092,4,0.3559
1094,2,0.7734
1095,6,0.3294
1096,5,0.6994
1097,1,0.4589
1098,1,0.6104
1099,3,0.7687
11,4,0.6567
110,4,0.8387
1100,3,0.7069
1101,3,0.603
1102,3,0.849
1103,2,0.6882
1104,3,0.6716
1105,2,0.5173
1106,3,0.8622
1107,3,0.6654
1108,3,0.5522
1109,5,0.8657
111,4,0.5533
1111,1,0.6078
1112,3,0.4318
1113,3,0.8711
1114,5,0.3663
1115,1,0.3297
1116,0,0.4501
1117,5,0.4749
1118,0,0.6284
1119,3,0.6544
112,2,0.5512
1120,4,0.6208
1121,5,0.9233
1122,3,0.5502
1123,4,0.554
1124,5,0.4137
1125,4,0.4428
1126,3,0.7292
1127,3,0.9098
1128,2,0.4183
1129,4,0.6203
113,3,0.5487
1130,6,0.424
1131,1,0.3514
1132,1,0.5034
1133,5,0.8455
1134,4,0.6818
1135,4,0.6727
1136,3,0.8689
1138,5,0.3688
1139,3,0.4764
114,3,0.6981
1140,3,0.4806
1141,2,0.2752
1142,2,0.4941
1143,5,0.594
1144,1,0.4389
1145,4,0.7698
1146,4,0.6968
1147,3,0.5177
1148,0,0.125
1149,3,0.5316
115,4,0.7378
1150,2,0.3074
1151,3,0.7555
1152,3,0.7722
1153,0,0.3768
1154,2,0.5993
1155,1,0.6526
1156,3,0.543
1157,4,0.7676
1158,4,0.8597
1159,3,0.4735
116,2,0.3259
1160,3,0.6561
1161,3,0.4313
1162,3,0.7722
1163,4,0.459
1164,2,0.5242
1165,3,0.9984
1166,3,0.7047
1167,3,0.5035
1168,0,0.5161
1169,5,0.5037
1170,3,0.4724
1171,3,0.6846
1172,3,0.526
1173,4,0.8526
1174,0,0.125
1175,1,0.4425
1176,3,0.9295
1177,2,0.4737
1178,2,0.7843
1179,7,0.4748
118,3,0.7561
1180,0,0.4253
1181,3,0.7237
1182,3,0.56
1183,6,0.2994
1184,6,0.44
1185,7,0.511
1186,1,0.7028
1187,6,0.4729
1188,2,0.8939
1189,3,0.5682
119,3,0.7107
1190,2,0.2701
1191,1,0.7139
1192,4,0.502
1193,3,0.7347
1194,5,0.3437
1195,6,0.4054
1196,3,0.651
1197,1,0.6367
1198,1,0.5467
1199,4,0.7829
12,4,0.3286
120,4,0.8886
1200,2,0.8273
1201,3,0.4314
1202,7,0.3616
1203,1,0.4094
1204,3,0.4073
1205,4,0.9436
1206,4,0.6611
1207,1,0.4214
1208,3,0.6199
1209,2,0.6029
121,2,0.8699
1210,6,0.5076
1211,1,0.7102
1212,2,0.8721
1213,4,0.5133
1214,6,0.5255
1215,3,0.7104
1216,4,0.5305
1217,1,0.6029
1218,1,0.7574
1219,3,0.6992
122,3,0.4073
1220,3,0.4635
1221,3,0.3075
1222,4,0.6699
1223,0,0.4991
1224,5,0.6641
1225,3,0.5581
1226,2,0.6736
1227,3,0.7738
1228,4,0.3488
1229,5,0.5922
123,6,0.5618
1230,5,0.8797
1231,3,0.726
1232,1,0.7939
1233,3,0.9739
1234,2,0.4322
1235,3,0.3141
1236,2,0.5443
1238,6,0.4326
1239,3,0.6409
124,2,0.7113
1240,3,0.7168
1241,1,0.4456
1242,6,0.4319
1243,3,0.4226
1244,2,0.8825
1245,5,0.531
1247,3,0.565
1248,6,0.6752
1249,4,0.5577
125,3,0.8456
1250,3,0.7752
1251,2,0.2758
1252,1,0.4855
1253,3,0.6632
1254,6,0.3659
1255,2,0.6843
1256,3,0.5737
1257,5,0.4855
1258,3,0.8943
1259,1,0.364
126,4,0.8064
1260,6,0.5474
1261,1,0.4269
1262,2,0.8401
1263,3,0.4816
1264,1,0.4996
1265,4,0.8322
1266,2,0.3465
1267,5,0.3036
1268,1,0.4598
1269,5,0.7275
127,4,0.6133
1270,3,0.4793
1271,3,0.5057
1272,1,0.7979
1273,5,0.562
1274,4,0.3917
1275,3,0.8832
1276,3,0.4835
1277,2,0.7861
1278,5,0.7568
1279,3,0.9418
128,4,0.5355
1280,3,0.7652
